caption_idx,caption,ground_truth_image,actual_rank_of_gt,gt_score,top1_score,score_gap,predicted_top3_images,predicted_top3_scores
16,a skier is overlooking a snowcovered mountain,106514190_bae200f463.jpg,5,0.7732,0.8108,0.0376,"['3166578139_33500f7e8a.jpg', '3621647714_fc67ab2617.jpg', '336551609_1385ab139e.jpg']","[0.8108, 0.8022, 0.8008]"
17,a skier is overlooking the beautiful white snow covered landscape,106514190_bae200f463.jpg,2,0.835,0.8599,0.0249,"['336551609_1385ab139e.jpg', '106514190_bae200f463.jpg', '224273695_0b517bd0eb.jpg']","[0.8599, 0.835, 0.8307]"
18,a hiker standing high on a bluff overlooking the mountains below,106514190_bae200f463.jpg,-1,0.5864,0.9054,0.3191,"['58368365_03ed3e5bdf.jpg', '2098174172_e57d86ea03.jpg', '530888330_a18343e38d.jpg']","[0.9054, 0.8876, 0.8869]"
19,a person on ski s looks from hill over snow covered landscape,106514190_bae200f463.jpg,5,0.7216,0.8585,0.1368,"['2664103423_c539f61016.jpg', '3012513414_86180c44cb.jpg', '3241965735_8742782a70.jpg']","[0.8585, 0.8447, 0.7414]"
20,a white and black dog and a brown dog in sandy terrain,1067790824_f3cc97239b.jpg,5,0.7426,0.8721,0.1295,"['496555371_3e1ee0d97d.jpg', '3415809168_af9dabdba5.jpg', '453756106_711c20471a.jpg']","[0.8721, 0.8323, 0.8305]"
21,a woolly dog chases a doberman on a beach,1067790824_f3cc97239b.jpg,-1,0.5258,0.7813,0.2554,"['1526325728_74eb4153d8.jpg', '496555371_3e1ee0d97d.jpg', '254527963_3f5824b0e8.jpg']","[0.7813, 0.7425, 0.7293]"
22,one dog is chasing another one on the beach,1067790824_f3cc97239b.jpg,-1,0.6527,0.8919,0.2392,"['496555371_3e1ee0d97d.jpg', '2407470303_6fd5e3600d.jpg', '3070031806_3d587c2a66.jpg']","[0.8919, 0.805, 0.7962]"
23,the two large dogs are running through sand,1067790824_f3cc97239b.jpg,-1,0.627,0.9137,0.2867,"['496555371_3e1ee0d97d.jpg', '566921157_07c18a41e2.jpg', '3415809168_af9dabdba5.jpg']","[0.9137, 0.8386, 0.7466]"
24,two large dogs chasing each other at the beach,1067790824_f3cc97239b.jpg,7,0.6674,0.8188,0.1514,"['496555371_3e1ee0d97d.jpg', '566921157_07c18a41e2.jpg', '3585488964_1467945775.jpg']","[0.8188, 0.7604, 0.7468]"
25,a boy is covered in bubbles,1075881101_d55c46bece.jpg,-1,0.2321,0.7609,0.5288,"['3517362674_0f5296de19.jpg', '1308472581_9961782889.jpg', '3613030730_0b28b079ba.jpg']","[0.7609, 0.6092, 0.5904]"
26,a person covered in soapy water is getting cleaned off,1075881101_d55c46bece.jpg,-1,0.3758,0.6386,0.2628,"['281754914_bc8119a0ed.jpg', '2984174290_a915748d77.jpg', '3208074567_ac44aeb3f3.jpg']","[0.6386, 0.5862, 0.576]"
27,a child covered in foam is climbing on a black inflatable ramp,1075881101_d55c46bece.jpg,-1,0.4338,0.822,0.3882,"['2988244398_5da7012fce.jpg', '542317719_ed4dd95dc2.jpg', '3741827382_71e93298d0.jpg']","[0.822, 0.7732, 0.7206]"
28,a boy covered in suds has his face wiped clean,1075881101_d55c46bece.jpg,-1,0.5544,0.8375,0.2832,"['1860543210_47e94cf652.jpg', '3494394662_3edfd4a34c.jpg', '3412249548_00820fc4ca.jpg']","[0.8375, 0.7249, 0.7039]"
29,a boy cleans the bubbles off his face,1075881101_d55c46bece.jpg,-1,0.2133,0.8152,0.6019,"['3517362674_0f5296de19.jpg', '2505360288_c972bd29c4.jpg', '3652150541_8fb5a3a5d1.jpg']","[0.8152, 0.6012, 0.5881]"
30,a closeup of a white dog that is laying its head on its paws,1084040636_97d9633581.jpg,2,0.7791,0.7944,0.0153,"['244399048_8332bb3270.jpg', '1084040636_97d9633581.jpg', '467858872_f3431df682.jpg']","[0.7944, 0.7791, 0.7747]"
31,a large white dog lying on the floor,1084040636_97d9633581.jpg,4,0.7467,0.8042,0.0576,"['244399048_8332bb3270.jpg', '2550109269_bc4262bd27.jpg', '3439982121_0afc6d5973.jpg']","[0.8042, 0.7662, 0.7475]"
33,a white dog is resting its head on a tiled floor with its eyes open,1084040636_97d9633581.jpg,2,0.8067,0.8114,0.0048,"['2550109269_bc4262bd27.jpg', '1084040636_97d9633581.jpg', '3336361161_c06cdd160e.jpg']","[0.8114, 0.8067, 0.8059]"
34,a white dog rests its head on the patio bricks,1084040636_97d9633581.jpg,2,0.8226,0.8439,0.0213,"['3336361161_c06cdd160e.jpg', '1084040636_97d9633581.jpg', '2550109269_bc4262bd27.jpg']","[0.8439, 0.8226, 0.8203]"
38,a woman in a blue jacket rides a brown pony near water,109202756_b97fcdc62c.jpg,-1,0.5725,0.7411,0.1687,"['1348947380_14f0fc1237.jpg', '95783195_e1ba3f57ca.jpg', '3446347599_0ecc49a9d5.jpg']","[0.7411, 0.6859, 0.6784]"
40,a woman in a blue dress stands with a chalk portrait of two children playing by a stream,1093737381_b313cd49ff.jpg,-1,-0.084,0.764,0.8479,"['2852982055_8112d0964f.jpg', '1248357227_2b4175fc39.jpg', '2162564553_96de62c7e6.jpg']","[0.764, 0.7393, 0.7357]"
41,a woman standing in front of a chalk drawing,1093737381_b313cd49ff.jpg,-1,-0.0752,0.6973,0.7725,"['3213395965_2a823c6865.jpg', '3030962048_f71948226c.jpg', '954987350_a0c608b467.jpg']","[0.6973, 0.6401, 0.6356]"
42,a woman stands next to a chalk drawing in front of a barnlike structure,1093737381_b313cd49ff.jpg,-1,0.0832,0.7201,0.637,"['3106340185_80d0cb770a.jpg', '2504277798_936a09c74d.jpg', '1057210460_09c6f4c6c1.jpg']","[0.7201, 0.7069, 0.6222]"
43,a woman stands outside near an elaborate chalk illustration,1093737381_b313cd49ff.jpg,-1,0.3941,0.7362,0.3421,"['264141937_585320617a.jpg', '1057210460_09c6f4c6c1.jpg', '1952896009_cee8147c90.jpg']","[0.7362, 0.696, 0.6339]"
44,a woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk,1093737381_b313cd49ff.jpg,-1,0.3841,0.7511,0.367,"['537359971_6e28f5e66e.jpg', '3286222970_1fa445e38f.jpg', '1461329041_c623b06e5b.jpg']","[0.7511, 0.7093, 0.702]"
45,a young boy is jumping through water being sprayed up from the ground,1095476286_87d4f8664e.jpg,4,0.6728,0.7443,0.0716,"['2937697444_2367ff0e28.jpg', '3177298173_78cea31d64.jpg', '2410618963_fb78307d18.jpg']","[0.7443, 0.7391, 0.7142]"
46,a little boy playing in the water,1095476286_87d4f8664e.jpg,9,0.5899,0.8291,0.2392,"['1308472581_9961782889.jpg', '2937697444_2367ff0e28.jpg', '2410618963_fb78307d18.jpg']","[0.8291, 0.7644, 0.7289]"
51,a black and white dog is being soaked with a jet of water in a blue paddling pool,1096097967_ac305887b4.jpg,2,0.8281,0.8514,0.0233,"['2677656448_6b7e7702af.jpg', '1096097967_ac305887b4.jpg', '2842849030_89548af61c.jpg']","[0.8514, 0.8281, 0.7157]"
52,a dog sticking its face into the shower from a garden hose,1096097967_ac305887b4.jpg,-1,0.3899,0.7278,0.338,"['431410325_f4916b5460.jpg', '3052196390_c59dd24ca8.jpg', '2574230252_f5a1382dd4.jpg']","[0.7278, 0.6883, 0.6762]"
53,a small white dog gets sprayed by water,1096097967_ac305887b4.jpg,-1,0.3939,0.7511,0.3572,"['2100046085_69b59b6645.jpg', '1084040636_97d9633581.jpg', '1095476286_87d4f8664e.jpg']","[0.7511, 0.7251, 0.6575]"
54,a white and black dog is jumping into a pool,1096097967_ac305887b4.jpg,6,0.6807,0.8103,0.1296,"['1178705300_c224d9a4f1.jpg', '2687328779_b4356dab16.jpg', '2461616306_3ee7ac1b4b.jpg']","[0.8103, 0.7835, 0.7575]"
56,a person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building,109823397_e35154645f.jpg,-1,0.4238,0.7101,0.2863,"['2351479551_e8820a1ff3.jpg', '3446762868_06e9d9d899.jpg', '3241965735_8742782a70.jpg']","[0.7101, 0.69, 0.673]"
58,a man on a fourwheeler jumps near a small building,109823397_e35154645f.jpg,-1,0.3366,0.634,0.2974,"['3446762868_06e9d9d899.jpg', '3724113279_99b6e5bf41.jpg', '2565350330_c7f305e7f7.jpg']","[0.634, 0.6323, 0.6239]"
59,a man jumps gin the air while riding an atv,109823397_e35154645f.jpg,2,0.6957,0.7087,0.013,"['3357416302_fcfcdd7b86.jpg', '109823397_e35154645f.jpg', '3446762868_06e9d9d899.jpg']","[0.7087, 0.6957, 0.6695]"
63,a boy wearing a white tshirt walks on the grass and carries a soccer ball,1104133405_c04a00707f.jpg,2,0.8019,0.8528,0.0509,"['278608022_4175813019.jpg', '1104133405_c04a00707f.jpg', '3506607642_40037b3fbf.jpg']","[0.8528, 0.8019, 0.7497]"
66,a man climbs a rocky wall,111537222_07e56d5a30.jpg,2,0.763,0.8211,0.0581,"['415793623_6c1225ae27.jpg', '111537222_07e56d5a30.jpg', '2623560640_0445c9a138.jpg']","[0.8211, 0.763, 0.6861]"
67,a rock climber climbs a large rock,111537222_07e56d5a30.jpg,-1,0.4963,0.7847,0.2884,"['136639119_6040b00946.jpg', '466956675_a2fb6bf901.jpg', '2753531542_ace2c870b7.jpg']","[0.7847, 0.7719, 0.6806]"
68,a woman in purple snakeskin pants climbs a rock,111537222_07e56d5a30.jpg,-1,0.4619,0.8835,0.4216,"['236095031_5cb17dc54a.jpg', '415793623_6c1225ae27.jpg', '466956675_a2fb6bf901.jpg']","[0.8835, 0.8148, 0.6231]"
70,a child playing with a fountain at the beach,1115565519_d976d4b1f1.jpg,-1,0.5451,0.6883,0.1432,"['2281006675_fde04e93dd.jpg', '2107838729_a527e434bd.jpg', '3705688385_47651205d3.jpg']","[0.6883, 0.6821, 0.6699]"
71,a child plays with a fountain,1115565519_d976d4b1f1.jpg,-1,0.336,0.709,0.3731,"['2911919938_6bb6587a36.jpg', '2685752892_9d5cd7f274.jpg', '2107838729_a527e434bd.jpg']","[0.709, 0.6963, 0.6948]"
72,a girl looks at a fountain that sprays water,1115565519_d976d4b1f1.jpg,-1,0.2942,0.6574,0.3631,"['1095476286_87d4f8664e.jpg', '2685752892_9d5cd7f274.jpg', '2504277798_936a09c74d.jpg']","[0.6574, 0.6438, 0.6172]"
73,a little girl playing in water on a frog sculpture,1115565519_d976d4b1f1.jpg,-1,0.1247,0.6991,0.5744,"['3208074567_ac44aeb3f3.jpg', '1424237335_b3be9920ba.jpg', '514222303_cb98584536.jpg']","[0.6991, 0.6305, 0.6267]"
74,the little girl is playing with a toy in a public fountain,1115565519_d976d4b1f1.jpg,-1,0.1865,0.698,0.5116,"['2594459477_8ca0121a9a.jpg', '2747714500_49476225c6.jpg', '2685752892_9d5cd7f274.jpg']","[0.698, 0.698, 0.6615]"
75,two dogs tug at a chew toy in the surf,1129704496_4a61441f2c.jpg,2,0.7781,0.7834,0.0053,"['2089350172_dc2cf9fcf6.jpg', '1129704496_4a61441f2c.jpg', '2565685680_c30972455d.jpg']","[0.7834, 0.7781, 0.7523]"
77,two dogs run through the water with a rope in their mouths,1129704496_4a61441f2c.jpg,4,0.7405,0.8517,0.1113,"['2756636539_cc1eacbf4a.jpg', '2289212650_69de7a20b2.jpg', '2089350172_dc2cf9fcf6.jpg']","[0.8517, 0.8259, 0.7573]"
78,both dogs retrieve the play toy from the water,1129704496_4a61441f2c.jpg,6,0.6909,0.8018,0.1108,"['2089350172_dc2cf9fcf6.jpg', '481827288_a688be7913.jpg', '2696394827_7342ced36f.jpg']","[0.8018, 0.7544, 0.7542]"
80,two brown dogs are creating large splashes as they run in a river,1130401779_8c30182e3e.jpg,2,0.8116,0.8118,0.0001,"['481827288_a688be7913.jpg', '1130401779_8c30182e3e.jpg', '2220175999_081aa9cce8.jpg']","[0.8118, 0.8116, 0.7405]"
81,two brown dogs in the water,1130401779_8c30182e3e.jpg,8,0.6794,0.8881,0.2087,"['481827288_a688be7913.jpg', '1439282131_3814d6ae04.jpg', '2220175999_081aa9cce8.jpg']","[0.8881, 0.78, 0.7713]"
82,two brown dogs running through water,1130401779_8c30182e3e.jpg,7,0.6943,0.8011,0.1069,"['481827288_a688be7913.jpg', '3571675421_7e07ac07c5.jpg', '1439282131_3814d6ae04.jpg']","[0.8011, 0.7699, 0.7172]"
83,two brown dogs runs through the water,1130401779_8c30182e3e.jpg,7,0.6958,0.8316,0.1358,"['481827288_a688be7913.jpg', '3571675421_7e07ac07c5.jpg', '1439282131_3814d6ae04.jpg']","[0.8316, 0.8202, 0.7631]"
84,two dogs splash through the water,1130401779_8c30182e3e.jpg,-1,0.5792,0.8655,0.2862,"['2289212650_69de7a20b2.jpg', '2756636539_cc1eacbf4a.jpg', '2220175999_081aa9cce8.jpg']","[0.8655, 0.8041, 0.7646]"
86,a white and brown dog shaking its self dry,1131800850_89c7ffd477.jpg,-1,0.557,0.7859,0.2289,"['453756106_711c20471a.jpg', '426191845_1e979e9345.jpg', '460478198_83039f2593.jpg']","[0.7859, 0.7175, 0.6836]"
88,a dog is looking at something near the water,1131800850_89c7ffd477.jpg,-1,0.3437,0.7494,0.4057,"['2115849046_2aa9fa8d13.jpg', '527968666_1fcddf81ab.jpg', '1348947380_14f0fc1237.jpg']","[0.7494, 0.7318, 0.7167]"
89,a brown and white dog stands outside while it snows,1131800850_89c7ffd477.jpg,5,0.59,0.7055,0.1155,"['3336361161_c06cdd160e.jpg', '2702506716_17a7fb3ba4.jpg', '2525270674_4ab536e7ec.jpg']","[0.7055, 0.6874, 0.6589]"
90,a child jumping into a lake in a wooded area while another child plays on the shore,1159574340_99ba8c3c59.jpg,3,0.6396,0.6923,0.0527,"['195962284_e57178054a.jpg', '3229282764_a4a515f4e2.jpg', '1159574340_99ba8c3c59.jpg']","[0.6923, 0.6434, 0.6396]"
92,a kid jumping into a pool of water,1159574340_99ba8c3c59.jpg,-1,0.4928,0.7898,0.2969,"['2461616306_3ee7ac1b4b.jpg', '701816897_221bbe761a.jpg', '3009018821_ba47396e24.jpg']","[0.7898, 0.7331, 0.7308]"
93,little boy in sneakers jumping into water,1159574340_99ba8c3c59.jpg,6,0.6198,0.7278,0.108,"['195962284_e57178054a.jpg', '3741827382_71e93298d0.jpg', '3177298173_78cea31d64.jpg']","[0.7278, 0.7213, 0.6978]"
94,the man takes a leap into the water with his shoes on,1159574340_99ba8c3c59.jpg,-1,0.4645,0.819,0.3545,"['3625519177_4c2bb9e7f0.jpg', '2797438951_88a3ed7541.jpg', '3582066525_e9d6377f56.jpg']","[0.819, 0.7752, 0.7241]"
97,a mountaineer sits in the snow in front of a yellow tent under clear blue sky,116409198_0fe0c94f3b.jpg,-1,0.4039,0.7059,0.302,"['3228069008_edb2961fc4.jpg', '2088460083_42ee8a595a.jpg', '2125216241_5b265a2fbc.jpg']","[0.7059, 0.6601, 0.6438]"
98,a man sitting near a tent in the snow and ice,116409198_0fe0c94f3b.jpg,2,0.5944,0.6125,0.0181,"['3228069008_edb2961fc4.jpg', '116409198_0fe0c94f3b.jpg', '2610447973_89227ff978.jpg']","[0.6125, 0.5944, 0.5941]"
99,a man eats near a tent in the snow,116409198_0fe0c94f3b.jpg,-1,0.4654,0.6265,0.1611,"['3228069008_edb2961fc4.jpg', '3526805681_38461c0d5d.jpg', '3342272425_804316cb3d.jpg']","[0.6265, 0.6016, 0.5871]"
100,two blonde boys one in a camouflage shirt and the other in blue are having a water fight,1177994172_10d143cb8d.jpg,3,0.7473,0.8752,0.1279,"['3041689520_c481bdb20e.jpg', '3666537170_c4ecda4be8.jpg', '1177994172_10d143cb8d.jpg']","[0.8752, 0.7624, 0.7473]"
101,two boys are squirting water guns at each other,1177994172_10d143cb8d.jpg,2,0.7028,0.8144,0.1116,"['3041689520_c481bdb20e.jpg', '1177994172_10d143cb8d.jpg', '2937697444_2367ff0e28.jpg']","[0.8144, 0.7028, 0.6903]"
102,two boys spraying each other with water,1177994172_10d143cb8d.jpg,3,0.7435,0.8091,0.0656,"['3041689520_c481bdb20e.jpg', '3666537170_c4ecda4be8.jpg', '1177994172_10d143cb8d.jpg']","[0.8091, 0.7441, 0.7435]"
103,two children wearing jeans squirt water at each other,1177994172_10d143cb8d.jpg,6,0.6894,0.8206,0.1312,"['3041689520_c481bdb20e.jpg', '2911245290_b2c79f328a.jpg', '765929807_de381cc764.jpg']","[0.8206, 0.7897, 0.7571]"
104,two young boys are squirting water at each other,1177994172_10d143cb8d.jpg,3,0.8257,0.868,0.0423,"['3041689520_c481bdb20e.jpg', '3666537170_c4ecda4be8.jpg', '1177994172_10d143cb8d.jpg']","[0.868, 0.8285, 0.8257]"
105,a tan colored dog leaps into the inground pool,1178705300_c224d9a4f1.jpg,3,0.7278,0.7708,0.043,"['967719295_3257695095.jpg', '2831672255_d779807c14.jpg', '1178705300_c224d9a4f1.jpg']","[0.7708, 0.7292, 0.7278]"
111,a woman in a blue coat and blue heels walks down a city sidewalk at night,1225443522_1633e7121f.jpg,4,0.7931,0.87,0.077,"['495055747_a75872762a.jpg', '256444892_efcb3bd824.jpg', '3072782873_3278f3b3a7.jpg']","[0.87, 0.8486, 0.7976]"
112,a woman walking down a brick sidewalk,1225443522_1633e7121f.jpg,7,0.7113,0.7989,0.0876,"['1952896009_cee8147c90.jpg', '551664516_78a5131dc4.jpg', '256444892_efcb3bd824.jpg']","[0.7989, 0.786, 0.755]"
120,the hatted males pose for a picture,1235580648_7eebaed9bc.jpg,4,0.6818,0.7376,0.0558,"['3105929913_94a6882e25.jpg', '2437266971_b91a8f9a00.jpg', '2925737498_57585a7ed9.jpg']","[0.7376, 0.7088, 0.6984]"
122,two men in tall hats frown at the camera,1235580648_7eebaed9bc.jpg,3,0.6846,0.7668,0.0822,"['3105929913_94a6882e25.jpg', '2551344688_17a12a6948.jpg', '1235580648_7eebaed9bc.jpg']","[0.7668, 0.687, 0.6846]"
123,two men wear silly stove pipe hats and wear makeup,1235580648_7eebaed9bc.jpg,2,0.7675,0.8112,0.0437,"['3105929913_94a6882e25.jpg', '1235580648_7eebaed9bc.jpg', '2551344688_17a12a6948.jpg']","[0.8112, 0.7675, 0.7606]"
124,two people wearing hats sit and look at the camera,1235580648_7eebaed9bc.jpg,6,0.6188,0.6878,0.069,"['3217291172_10ef70af88.jpg', '3503623999_bbd5dcfb18.jpg', '2272823323_3b7291cd47.jpg']","[0.6878, 0.6769, 0.6726]"
125,child flips off pool diving board man and another tumbling child at poolside,1236964638_1808784a3c.jpg,2,0.8259,0.8965,0.0706,"['3009018821_ba47396e24.jpg', '1236964638_1808784a3c.jpg', '701816897_221bbe761a.jpg']","[0.8965, 0.8259, 0.8182]"
126,a child jumping into a swimming pool from the diving board,1236964638_1808784a3c.jpg,3,0.8386,0.9291,0.0905,"['2461616306_3ee7ac1b4b.jpg', '3009018821_ba47396e24.jpg', '1236964638_1808784a3c.jpg']","[0.9291, 0.8884, 0.8386]"
127,a child is diving into a pool,1236964638_1808784a3c.jpg,3,0.7951,0.8659,0.0709,"['2461616306_3ee7ac1b4b.jpg', '3009018821_ba47396e24.jpg', '1236964638_1808784a3c.jpg']","[0.8659, 0.8443, 0.7951]"
128,a boy is diving off a diving board into a swimming pool,1236964638_1808784a3c.jpg,3,0.8961,0.9016,0.0055,"['3009018821_ba47396e24.jpg', '2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg']","[0.9016, 0.9016, 0.8961]"
129,a boy flips off a diving board into a pool,1236964638_1808784a3c.jpg,3,0.8826,0.911,0.0284,"['2461616306_3ee7ac1b4b.jpg', '3009018821_ba47396e24.jpg', '1236964638_1808784a3c.jpg']","[0.911, 0.8951, 0.8826]"
132,a man wearing a blue shirt crouches on a rocky cliff,1247181182_35cabd76f3.jpg,3,0.6541,0.7796,0.1256,"['950273886_88c324e663.jpg', '319869052_08b000e4af.jpg', '1247181182_35cabd76f3.jpg']","[0.7796, 0.7136, 0.6541]"
133,a person posing on a mountaintop,1247181182_35cabd76f3.jpg,3,0.8115,0.8272,0.0156,"['455611732_d65bf3e976.jpg', '319869052_08b000e4af.jpg', '1247181182_35cabd76f3.jpg']","[0.8272, 0.8132, 0.8115]"
135,three children stand next to a lake with their reflections on the water,1248357227_2b4175fc39.jpg,6,0.686,0.8003,0.1144,"['3217893350_57be430d06.jpg', '2672588619_3849930e99.jpg', '2747714500_49476225c6.jpg']","[0.8003, 0.7625, 0.7144]"
137,three children in jackets looking at water s edge looking at their reflections in a lake,1248357227_2b4175fc39.jpg,6,0.631,0.8045,0.1734,"['3217893350_57be430d06.jpg', '2747714500_49476225c6.jpg', '2220175999_081aa9cce8.jpg']","[0.8045, 0.688, 0.6518]"
139,three children looking into the water on a wooded lakeside,1248357227_2b4175fc39.jpg,4,0.7014,0.7568,0.0554,"['2852982055_8112d0964f.jpg', '765929807_de381cc764.jpg', '697778778_b52090709d.jpg']","[0.7568, 0.7446, 0.7213]"
145,a boy laying on the grass face down with a football at his feet,1269470943_ba7fc49b4d.jpg,2,0.7586,0.8218,0.0633,"['763577068_4b96ed768b.jpg', '1269470943_ba7fc49b4d.jpg', '762947607_2001ee4c72.jpg']","[0.8218, 0.7586, 0.6936]"
146,a boy in blue with a football sprawls in the grass,1269470943_ba7fc49b4d.jpg,-1,0.5459,0.7567,0.2109,"['221973402_ecb1cd51f1.jpg', '763577068_4b96ed768b.jpg', '1316247213_1d2c726dd5.jpg']","[0.7567, 0.7557, 0.7127]"
147,boy is lying face down in the grass with his foot on a football,1269470943_ba7fc49b4d.jpg,3,0.7287,0.8262,0.0974,"['763577068_4b96ed768b.jpg', '762947607_2001ee4c72.jpg', '1269470943_ba7fc49b4d.jpg']","[0.8262, 0.7361, 0.7287]"
148,the boy is on the ground next to the football,1269470943_ba7fc49b4d.jpg,3,0.6465,0.7111,0.0646,"['389643437_9a9830a3ba.jpg', '3434452829_62cee280bc.jpg', '1269470943_ba7fc49b4d.jpg']","[0.7111, 0.6708, 0.6465]"
149,the little boy fell face first into the grass while playing football,1269470943_ba7fc49b4d.jpg,2,0.6488,0.6737,0.0249,"['389643437_9a9830a3ba.jpg', '1269470943_ba7fc49b4d.jpg', '3672940355_47f30e2b28.jpg']","[0.6737, 0.6488, 0.6466]"
150,two dogs one black and one white face the camera in a field of snow,1287931016_fb015e2e10.jpg,10,0.6047,0.8085,0.2038,"['3266306177_7994dc2865.jpg', '412101267_7257e6d8c0.jpg', '400562847_e15aba0aac.jpg']","[0.8085, 0.8013, 0.6755]"
151,two dogs standing in the snow,1287931016_fb015e2e10.jpg,4,0.733,0.8166,0.0836,"['412101267_7257e6d8c0.jpg', '3266306177_7994dc2865.jpg', '1067790824_f3cc97239b.jpg']","[0.8166, 0.8146, 0.7733]"
154,two dogs stand in the snow,1287931016_fb015e2e10.jpg,4,0.7079,0.8496,0.1417,"['3266306177_7994dc2865.jpg', '412101267_7257e6d8c0.jpg', '1067790824_f3cc97239b.jpg']","[0.8496, 0.8068, 0.7546]"
155,man in suit is using his cellphone while sitting on a train,1298866571_b4c496b71c.jpg,3,0.7341,0.7467,0.0126,"['403678611_73978faed7.jpg', '397601572_9587a39291.jpg', '1298866571_b4c496b71c.jpg']","[0.7467, 0.7429, 0.7341]"
156,a young asian man is looking at his cellphone,1298866571_b4c496b71c.jpg,-1,0.5256,0.7564,0.2308,"['2267819545_446c5a3e18.jpg', '2856700531_312528eea4.jpg', '3213395965_2a823c6865.jpg']","[0.7564, 0.7511, 0.7397]"
157,a asian man gives an evil eye to the camera,1298866571_b4c496b71c.jpg,-1,0.275,0.9027,0.6277,"['3412249548_00820fc4ca.jpg', '1860543210_47e94cf652.jpg', '2925737498_57585a7ed9.jpg']","[0.9027, 0.7528, 0.7366]"
158,a man in a suit holds his cellphone in the air,1298866571_b4c496b71c.jpg,-1,0.2928,0.7932,0.5004,"['1418019748_51c7d59c11.jpg', '3726700898_c50494b8bd.jpg', '374103842_17873ce505.jpg']","[0.7932, 0.7399, 0.7227]"
159,a serious looking young man with a suit holds a cellphone,1298866571_b4c496b71c.jpg,-1,0.519,0.7834,0.2643,"['278002800_3817135105.jpg', '1417295167_5299df6db8.jpg', '2267819545_446c5a3e18.jpg']","[0.7834, 0.7711, 0.7702]"
160,a boy in swimming trunks,1299459550_1fd5594fa2.jpg,-1,0.4846,0.8815,0.3969,"['3666537170_c4ecda4be8.jpg', '3741827382_71e93298d0.jpg', '897621891_efb1e00d1d.jpg']","[0.8815, 0.7754, 0.7388]"
161,a toddler in blue shorts is laying face down on the wet ground,1299459550_1fd5594fa2.jpg,2,0.6449,0.7639,0.1191,"['2271468944_3264d29208.jpg', '1299459550_1fd5594fa2.jpg', '3079787482_0757e9d167.jpg']","[0.7639, 0.6449, 0.6407]"
162,a young boy laying face down in water,1299459550_1fd5594fa2.jpg,-1,0.5876,0.7637,0.1761,"['2842849030_89548af61c.jpg', '3613030730_0b28b079ba.jpg', '897621891_efb1e00d1d.jpg']","[0.7637, 0.7471, 0.7422]"
