caption_idx,caption,ground_truth_image,actual_rank_of_gt,gt_score,top1_score,score_gap,predicted_top3_images,predicted_top3_scores
93,little boy in sneakers jumping into water,1159574340_99ba8c3c59.jpg,-1,0.4526,0.6972,0.2446,"['2973638173_0dc21fd443.jpg', '2797438951_88a3ed7541.jpg', '3741827382_71e93298d0.jpg']","[0.6972, 0.654, 0.6388]"
94,the man takes a leap into the water with his shoes on,1159574340_99ba8c3c59.jpg,6,0.6676,0.8348,0.1672,"['2797438951_88a3ed7541.jpg', '3690425778_3b390b3ea5.jpg', '186890601_8a6b0f1769.jpg']","[0.8348, 0.7205, 0.6971]"
103,two children wearing jeans squirt water at each other,1177994172_10d143cb8d.jpg,7,0.5842,0.7071,0.1229,"['2911245290_b2c79f328a.jpg', '2337809114_899ba61330.jpg', '3613030730_0b28b079ba.jpg']","[0.7071, 0.6941, 0.6704]"
110,a girl walking alone at night on a street,1225443522_1633e7121f.jpg,4,0.6749,0.7481,0.0732,"['551664516_78a5131dc4.jpg', '2504277798_936a09c74d.jpg', '635444010_bd81c89ab7.jpg']","[0.7481, 0.7368, 0.7138]"
111,a woman in a blue coat and blue heels walks down a city sidewalk at night,1225443522_1633e7121f.jpg,6,0.7248,0.815,0.0902,"['551664516_78a5131dc4.jpg', '256444892_efcb3bd824.jpg', '495055747_a75872762a.jpg']","[0.815, 0.7821, 0.7745]"
112,a woman walking down a brick sidewalk,1225443522_1633e7121f.jpg,10,0.6577,0.8005,0.1428,"['635444010_bd81c89ab7.jpg', '1952896009_cee8147c90.jpg', '551664516_78a5131dc4.jpg']","[0.8005, 0.7794, 0.7581]"
113,a woman walks down a brick sidewalk at night,1225443522_1633e7121f.jpg,3,0.7846,0.8425,0.0579,"['635444010_bd81c89ab7.jpg', '551664516_78a5131dc4.jpg', '1225443522_1633e7121f.jpg']","[0.8425, 0.8222, 0.7846]"
114,a woman walks down a city sidewalk at night,1225443522_1633e7121f.jpg,3,0.7605,0.8546,0.0941,"['551664516_78a5131dc4.jpg', '635444010_bd81c89ab7.jpg', '1225443522_1633e7121f.jpg']","[0.8546, 0.8024, 0.7605]"
115,the little girl is riding in a brown horse,1234293791_6566284bcd.jpg,2,0.7857,0.8659,0.0801,"['2656987333_80dcc82c05.jpg', '1234293791_6566284bcd.jpg', '3138562460_44227a35cf.jpg']","[0.8659, 0.7857, 0.7828]"
117,a young girl wearing a helmet and riding a brown horse,1234293791_6566284bcd.jpg,3,0.7732,0.8096,0.0365,"['2656987333_80dcc82c05.jpg', '109202756_b97fcdc62c.jpg', '1234293791_6566284bcd.jpg']","[0.8096, 0.777, 0.7732]"
118,a girl rides a horse,1234293791_6566284bcd.jpg,2,0.8176,0.8845,0.0669,"['2656987333_80dcc82c05.jpg', '1234293791_6566284bcd.jpg', '3138562460_44227a35cf.jpg']","[0.8845, 0.8176, 0.8099]"
120,the hatted males pose for a picture,1235580648_7eebaed9bc.jpg,-1,0.5902,0.779,0.1889,"['1860543210_47e94cf652.jpg', '2925737498_57585a7ed9.jpg', '3375549004_beee810e60.jpg']","[0.779, 0.7574, 0.6909]"
121,the two men are wearing tall hats one hat is a red print and the other is gold colored,1235580648_7eebaed9bc.jpg,9,0.6154,0.7714,0.156,"['470887791_86d5a08a38.jpg', '3503623999_bbd5dcfb18.jpg', '2551344688_17a12a6948.jpg']","[0.7714, 0.7505, 0.7238]"
122,two men in tall hats frown at the camera,1235580648_7eebaed9bc.jpg,-1,0.5791,0.8324,0.2534,"['2924884899_f512c84332.jpg', '470887791_86d5a08a38.jpg', '2551344688_17a12a6948.jpg']","[0.8324, 0.7803, 0.727]"
124,two people wearing hats sit and look at the camera,1235580648_7eebaed9bc.jpg,-1,0.3198,0.5945,0.2747,"['3351667846_ac43118ae5.jpg', '3550276904_19de3561c5.jpg', '2837640996_0183db8d93.jpg']","[0.5945, 0.5833, 0.5628]"
125,child flips off pool diving board man and another tumbling child at poolside,1236964638_1808784a3c.jpg,4,0.714,0.8588,0.1448,"['3009018821_ba47396e24.jpg', '1309330801_aeeb23f1ee.jpg', '1991806812_065f747689.jpg']","[0.8588, 0.7666, 0.746]"
126,a child jumping into a swimming pool from the diving board,1236964638_1808784a3c.jpg,2,0.9175,0.941,0.0234,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '3009018821_ba47396e24.jpg']","[0.941, 0.9175, 0.8991]"
130,a man sits on a rock,1247181182_35cabd76f3.jpg,3,0.6499,0.7328,0.0829,"['3108378861_d2214d971e.jpg', '3565655045_8eb00b7423.jpg', '1247181182_35cabd76f3.jpg']","[0.7328, 0.7036, 0.6499]"
132,a man wearing a blue shirt crouches on a rocky cliff,1247181182_35cabd76f3.jpg,10,0.597,0.8163,0.2193,"['950273886_88c324e663.jpg', '697778778_b52090709d.jpg', '2480832276_fa55480ecb.jpg']","[0.8163, 0.7693, 0.7165]"
133,a person posing on a mountaintop,1247181182_35cabd76f3.jpg,3,0.7439,0.8139,0.07,"['319869052_08b000e4af.jpg', '455611732_d65bf3e976.jpg', '1247181182_35cabd76f3.jpg']","[0.8139, 0.7856, 0.7439]"
135,three children stand next to a lake with their reflections on the water,1248357227_2b4175fc39.jpg,-1,0.565,0.7567,0.1917,"['2747714500_49476225c6.jpg', '3217893350_57be430d06.jpg', '3501083764_cf592292a6.jpg']","[0.7567, 0.6714, 0.6634]"
136,three children play near a placid lake in a wooded area,1248357227_2b4175fc39.jpg,7,0.5889,0.6756,0.0867,"['3041689520_c481bdb20e.jpg', '534056823_0752303702.jpg', '3501083764_cf592292a6.jpg']","[0.6756, 0.6545, 0.6499]"
137,three children in jackets looking at water s edge looking at their reflections in a lake,1248357227_2b4175fc39.jpg,5,0.6166,0.777,0.1604,"['3217893350_57be430d06.jpg', '2030781555_b7ff7be28f.jpg', '2744330402_824240184c.jpg']","[0.777, 0.6842, 0.6492]"
138,the kids play in the wooded area near the water,1248357227_2b4175fc39.jpg,-1,0.3975,0.6992,0.3017,"['413737417_b0a8b445e9.jpg', '3041689520_c481bdb20e.jpg', '3501083764_cf592292a6.jpg']","[0.6992, 0.6549, 0.6472]"
139,three children looking into the water on a wooded lakeside,1248357227_2b4175fc39.jpg,-1,0.5374,0.603,0.0657,"['3501083764_cf592292a6.jpg', '2852982055_8112d0964f.jpg', '3480052428_c034b98a08.jpg']","[0.603, 0.5997, 0.5964]"
141,a girl in a pink shirt lies on her back in the grass,1248734482_3038218f3b.jpg,2,0.7112,0.7118,0.0007,"['3672940355_47f30e2b28.jpg', '1248734482_3038218f3b.jpg', '3345025842_bc2082a509.jpg']","[0.7118, 0.7112, 0.6821]"
144,girl in pink shirt with white writing lying in grass,1248734482_3038218f3b.jpg,3,0.6753,0.7221,0.0468,"['2909875716_25c8652614.jpg', '763577068_4b96ed768b.jpg', '1248734482_3038218f3b.jpg']","[0.7221, 0.6813, 0.6753]"
145,a boy laying on the grass face down with a football at his feet,1269470943_ba7fc49b4d.jpg,4,0.6388,0.697,0.0582,"['3229913073_e7857a5966.jpg', '2565350330_c7f305e7f7.jpg', '762947607_2001ee4c72.jpg']","[0.697, 0.6627, 0.6597]"
148,the boy is on the ground next to the football,1269470943_ba7fc49b4d.jpg,7,0.5717,0.7063,0.1347,"['964197865_0133acaeb4.jpg', '2648165716_02e2e74fd6.jpg', '1104133405_c04a00707f.jpg']","[0.7063, 0.6769, 0.675]"
149,the little boy fell face first into the grass while playing football,1269470943_ba7fc49b4d.jpg,4,0.6569,0.7745,0.1176,"['1104133405_c04a00707f.jpg', '2648165716_02e2e74fd6.jpg', '964197865_0133acaeb4.jpg']","[0.7745, 0.6905, 0.6748]"
150,two dogs one black and one white face the camera in a field of snow,1287931016_fb015e2e10.jpg,10,0.5652,0.734,0.1688,"['412101267_7257e6d8c0.jpg', '2109911919_af45b93ef3.jpg', '3264650118_be7df266e7.jpg']","[0.734, 0.6613, 0.6131]"
151,two dogs standing in the snow,1287931016_fb015e2e10.jpg,2,0.8204,0.8345,0.0141,"['412101267_7257e6d8c0.jpg', '1287931016_fb015e2e10.jpg', '1067790824_f3cc97239b.jpg']","[0.8345, 0.8204, 0.6974]"
152,a black and a white dog on the snow,1287931016_fb015e2e10.jpg,2,0.7156,0.7184,0.0028,"['2545192257_142fe9e2de.jpg', '1287931016_fb015e2e10.jpg', '1067790824_f3cc97239b.jpg']","[0.7184, 0.7156, 0.6379]"
154,two dogs stand in the snow,1287931016_fb015e2e10.jpg,2,0.8125,0.8815,0.069,"['412101267_7257e6d8c0.jpg', '1287931016_fb015e2e10.jpg', '1067790824_f3cc97239b.jpg']","[0.8815, 0.8125, 0.7058]"
155,man in suit is using his cellphone while sitting on a train,1298866571_b4c496b71c.jpg,-1,0.2516,0.6619,0.4103,"['397601572_9587a39291.jpg', '543264612_c53cc163b4.jpg', '2525666287_638ab5e784.jpg']","[0.6619, 0.6616, 0.5979]"
156,a young asian man is looking at his cellphone,1298866571_b4c496b71c.jpg,-1,0.2523,0.7327,0.4804,"['2267819545_446c5a3e18.jpg', '2647049174_0fb47cee2e.jpg', '1417295167_5299df6db8.jpg']","[0.7327, 0.6948, 0.6377]"
157,a asian man gives an evil eye to the camera,1298866571_b4c496b71c.jpg,-1,0.4284,0.7583,0.3299,"['1418019748_51c7d59c11.jpg', '2856700531_312528eea4.jpg', '3640241166_b1ab7a8e7a.jpg']","[0.7583, 0.6955, 0.6815]"
158,a man in a suit holds his cellphone in the air,1298866571_b4c496b71c.jpg,-1,0.5805,0.7622,0.1816,"['1860543210_47e94cf652.jpg', '2856700531_312528eea4.jpg', '2267819545_446c5a3e18.jpg']","[0.7622, 0.6884, 0.6772]"
