caption_idx,caption,ground_truth_image,actual_rank_of_gt,gt_score,top1_score,score_gap,predicted_top3_images,predicted_top3_scores
91,a child jumps into the water with his sneakers on,1159574340_99ba8c3c59.jpg,5,0.5863,0.6922,0.1059,"['3741827382_71e93298d0.jpg', '2797438951_88a3ed7541.jpg', '3690425778_3b390b3ea5.jpg']","[0.6922, 0.6553, 0.6241]"
92,a kid jumping into a pool of water,1159574340_99ba8c3c59.jpg,-1,0.5462,0.8719,0.3256,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '477254932_56b48d775d.jpg']","[0.8719, 0.8072, 0.7795]"
93,little boy in sneakers jumping into water,1159574340_99ba8c3c59.jpg,4,0.5692,0.6646,0.0954,"['3741827382_71e93298d0.jpg', '3666537170_c4ecda4be8.jpg', '1991806812_065f747689.jpg']","[0.6646, 0.6268, 0.5938]"
94,the man takes a leap into the water with his shoes on,1159574340_99ba8c3c59.jpg,4,0.6231,0.6894,0.0663,"['3613005134_bb7f304da1.jpg', '3690425778_3b390b3ea5.jpg', '1991806812_065f747689.jpg']","[0.6894, 0.6545, 0.6326]"
96,person wearing a hooded jacket sitting on snow in front of a yellow tent,116409198_0fe0c94f3b.jpg,2,0.6261,0.6455,0.0194,"['369360998_ba56fb436f.jpg', '116409198_0fe0c94f3b.jpg', '3287963317_186491ee78.jpg']","[0.6455, 0.6261, 0.5782]"
97,a mountaineer sits in the snow in front of a yellow tent under clear blue sky,116409198_0fe0c94f3b.jpg,2,0.6598,0.756,0.0961,"['319870744_0e0138d205.jpg', '116409198_0fe0c94f3b.jpg', '1247181182_35cabd76f3.jpg']","[0.756, 0.6598, 0.6509]"
104,two young boys are squirting water at each other,1177994172_10d143cb8d.jpg,3,0.6458,0.6992,0.0533,"['2911245290_b2c79f328a.jpg', '2852982055_8112d0964f.jpg', '1177994172_10d143cb8d.jpg']","[0.6992, 0.6504, 0.6458]"
110,a girl walking alone at night on a street,1225443522_1633e7121f.jpg,2,0.6501,0.7135,0.0634,"['551664516_78a5131dc4.jpg', '1225443522_1633e7121f.jpg', '256444892_efcb3bd824.jpg']","[0.7135, 0.6501, 0.6405]"
111,a woman in a blue coat and blue heels walks down a city sidewalk at night,1225443522_1633e7121f.jpg,2,0.7588,0.8143,0.0555,"['256444892_efcb3bd824.jpg', '1225443522_1633e7121f.jpg', '551664516_78a5131dc4.jpg']","[0.8143, 0.7588, 0.7447]"
112,a woman walking down a brick sidewalk,1225443522_1633e7121f.jpg,7,0.6252,0.7423,0.1171,"['1952896009_cee8147c90.jpg', '2798651021_2566f2a47e.jpg', '268365231_a0acecdc45.jpg']","[0.7423, 0.6926, 0.6752]"
115,the little girl is riding in a brown horse,1234293791_6566284bcd.jpg,2,0.6283,0.6413,0.013,"['2656987333_80dcc82c05.jpg', '1234293791_6566284bcd.jpg', '109202756_b97fcdc62c.jpg']","[0.6413, 0.6283, 0.6263]"
120,the hatted males pose for a picture,1235580648_7eebaed9bc.jpg,5,0.5788,0.6534,0.0746,"['470887791_86d5a08a38.jpg', '2219959872_988e6d498e.jpg', '1396703063_e8c3687afe.jpg']","[0.6534, 0.6229, 0.6005]"
121,the two men are wearing tall hats one hat is a red print and the other is gold colored,1235580648_7eebaed9bc.jpg,3,0.5428,0.5732,0.0304,"['1396703063_e8c3687afe.jpg', '440184957_267f3f3a2b.jpg', '1235580648_7eebaed9bc.jpg']","[0.5732, 0.5673, 0.5428]"
122,two men in tall hats frown at the camera,1235580648_7eebaed9bc.jpg,7,0.5189,0.6672,0.1483,"['2219959872_988e6d498e.jpg', '3217291172_10ef70af88.jpg', '470887791_86d5a08a38.jpg']","[0.6672, 0.6249, 0.5856]"
123,two men wear silly stove pipe hats and wear makeup,1235580648_7eebaed9bc.jpg,4,0.5455,0.5754,0.0299,"['3589367895_5d3729e3ea.jpg', '3640109324_3ce89e4d1a.jpg', '1429723917_6af585e4c0.jpg']","[0.5754, 0.5577, 0.5574]"
124,two people wearing hats sit and look at the camera,1235580648_7eebaed9bc.jpg,-1,0.4464,0.7056,0.2592,"['2837640996_0183db8d93.jpg', '3184031654_34b5c4ffe1.jpg', '3217291172_10ef70af88.jpg']","[0.7056, 0.6276, 0.6248]"
125,child flips off pool diving board man and another tumbling child at poolside,1236964638_1808784a3c.jpg,7,0.6082,0.7132,0.105,"['210126070_0d43b300b9.jpg', '3009018821_ba47396e24.jpg', '1309330801_aeeb23f1ee.jpg']","[0.7132, 0.7075, 0.7004]"
126,a child jumping into a swimming pool from the diving board,1236964638_1808784a3c.jpg,2,0.7835,0.8689,0.0854,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '477254932_56b48d775d.jpg']","[0.8689, 0.7835, 0.7545]"
127,a child is diving into a pool,1236964638_1808784a3c.jpg,2,0.8151,0.8967,0.0816,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '477254932_56b48d775d.jpg']","[0.8967, 0.8151, 0.7876]"
128,a boy is diving off a diving board into a swimming pool,1236964638_1808784a3c.jpg,2,0.8038,0.862,0.0582,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '477254932_56b48d775d.jpg']","[0.862, 0.8038, 0.7343]"
129,a boy flips off a diving board into a pool,1236964638_1808784a3c.jpg,2,0.7654,0.796,0.0307,"['2461616306_3ee7ac1b4b.jpg', '1236964638_1808784a3c.jpg', '3426789838_8771f0ed56.jpg']","[0.796, 0.7654, 0.6668]"
130,a man sits on a rock,1247181182_35cabd76f3.jpg,-1,0.4259,0.7028,0.2769,"['3108378861_d2214d971e.jpg', '561179884_8b6b925ef9.jpg', '697778778_b52090709d.jpg']","[0.7028, 0.7011, 0.6632]"
132,a man wearing a blue shirt crouches on a rocky cliff,1247181182_35cabd76f3.jpg,6,0.6324,0.7123,0.0799,"['136639119_6040b00946.jpg', '415793623_6c1225ae27.jpg', '950273886_88c324e663.jpg']","[0.7123, 0.6882, 0.6682]"
133,a person posing on a mountaintop,1247181182_35cabd76f3.jpg,7,0.6395,0.7546,0.1152,"['106514190_bae200f463.jpg', '223299142_521aedf9e7.jpg', '530888330_a18343e38d.jpg']","[0.7546, 0.7372, 0.7179]"
135,three children stand next to a lake with their reflections on the water,1248357227_2b4175fc39.jpg,4,0.6069,0.707,0.1002,"['3637013_c675de7705.jpg', '3217893350_57be430d06.jpg', '3229821595_77ace81c6b.jpg']","[0.707, 0.6919, 0.6399]"
136,three children play near a placid lake in a wooded area,1248357227_2b4175fc39.jpg,2,0.6133,0.6269,0.0136,"['3637013_c675de7705.jpg', '1248357227_2b4175fc39.jpg', '2257294002_0073263c54.jpg']","[0.6269, 0.6133, 0.6108]"
137,three children in jackets looking at water s edge looking at their reflections in a lake,1248357227_2b4175fc39.jpg,8,0.4777,0.6378,0.1601,"['3217893350_57be430d06.jpg', '3637013_c675de7705.jpg', '3229821595_77ace81c6b.jpg']","[0.6378, 0.5795, 0.5732]"
138,the kids play in the wooded area near the water,1248357227_2b4175fc39.jpg,2,0.7031,0.7089,0.0058,"['3637013_c675de7705.jpg', '1248357227_2b4175fc39.jpg', '3041689520_c481bdb20e.jpg']","[0.7089, 0.7031, 0.5619]"
150,two dogs one black and one white face the camera in a field of snow,1287931016_fb015e2e10.jpg,3,0.6802,0.7406,0.0603,"['3195040792_a03954a19f.jpg', '412101267_7257e6d8c0.jpg', '1287931016_fb015e2e10.jpg']","[0.7406, 0.7145, 0.6802]"
151,two dogs standing in the snow,1287931016_fb015e2e10.jpg,2,0.7171,0.7916,0.0745,"['1067790824_f3cc97239b.jpg', '1287931016_fb015e2e10.jpg', '412101267_7257e6d8c0.jpg']","[0.7916, 0.7171, 0.6946]"
152,a black and a white dog on the snow,1287931016_fb015e2e10.jpg,2,0.7222,0.7291,0.0069,"['412101267_7257e6d8c0.jpg', '1287931016_fb015e2e10.jpg', '2148916767_644ea6a7fa.jpg']","[0.7291, 0.7222, 0.6699]"
153,a black dog and a white dog are standing on snow,1287931016_fb015e2e10.jpg,3,0.7238,0.7358,0.0119,"['1067790824_f3cc97239b.jpg', '3195040792_a03954a19f.jpg', '1287931016_fb015e2e10.jpg']","[0.7358, 0.733, 0.7238]"
154,two dogs stand in the snow,1287931016_fb015e2e10.jpg,3,0.7262,0.7903,0.0641,"['1067790824_f3cc97239b.jpg', '412101267_7257e6d8c0.jpg', '1287931016_fb015e2e10.jpg']","[0.7903, 0.7272, 0.7262]"
155,man in suit is using his cellphone while sitting on a train,1298866571_b4c496b71c.jpg,2,0.6072,0.7016,0.0945,"['397601572_9587a39291.jpg', '1298866571_b4c496b71c.jpg', '1332208215_fa824f6659.jpg']","[0.7016, 0.6072, 0.6024]"
158,a man in a suit holds his cellphone in the air,1298866571_b4c496b71c.jpg,2,0.6003,0.6076,0.0073,"['2700147489_f1664f2b61.jpg', '1298866571_b4c496b71c.jpg', '3613005134_bb7f304da1.jpg']","[0.6076, 0.6003, 0.5898]"
160,a boy in swimming trunks,1299459550_1fd5594fa2.jpg,-1,0.4488,0.7577,0.3089,"['2842849030_89548af61c.jpg', '3666537170_c4ecda4be8.jpg', '1159574340_99ba8c3c59.jpg']","[0.7577, 0.7054, 0.6723]"
162,a young boy laying face down in water,1299459550_1fd5594fa2.jpg,2,0.6197,0.6242,0.0045,"['897621891_efb1e00d1d.jpg', '1299459550_1fd5594fa2.jpg', '3613030730_0b28b079ba.jpg']","[0.6242, 0.6197, 0.6129]"
164,the boy in swim trunks is laying face down on a watery pavement,1299459550_1fd5594fa2.jpg,4,0.5292,0.593,0.0638,"['2701487024_e866eb4550.jpg', '2542037086_58c833699c.jpg', '482088914_e6ea4501e9.jpg']","[0.593, 0.5921, 0.5293]"
165,a dark haired bearded man wearing a turquoise shirt with a yellow peace sign on it,1303727066_23d0f6ed43.jpg,-1,0.4372,0.7368,0.2996,"['3412249548_00820fc4ca.jpg', '544257613_d9a1fea3f7.jpg', '1235580648_7eebaed9bc.jpg']","[0.7368, 0.6379, 0.5656]"
166,a man wearing a peace sign on his shirt smiles,1303727066_23d0f6ed43.jpg,-1,0.4419,0.7124,0.2705,"['3412249548_00820fc4ca.jpg', '2815256108_fc1302117d.jpg', '2924884899_f512c84332.jpg']","[0.7124, 0.6849, 0.6217]"
167,a man with a peace sign shirt stops to look at something,1303727066_23d0f6ed43.jpg,-1,0.3688,0.8078,0.439,"['2815256108_fc1302117d.jpg', '432167214_c17fcc1a2d.jpg', '3451344589_6787bd06ef.jpg']","[0.8078, 0.6255, 0.6152]"
168,a smiling bearded man wears a shirt with an orange peace sign,1303727066_23d0f6ed43.jpg,-1,0.3951,0.7302,0.3351,"['3412249548_00820fc4ca.jpg', '1235580648_7eebaed9bc.jpg', '2925737498_57585a7ed9.jpg']","[0.7302, 0.6601, 0.6493]"
169,the tshirt worn by the man has a bright orange peace symbol on the back,1303727066_23d0f6ed43.jpg,7,0.5183,0.5869,0.0685,"['264141937_585320617a.jpg', '3688839836_ba5e4c24fc.jpg', '2267819545_446c5a3e18.jpg']","[0.5869, 0.5644, 0.5644]"
170,girls with a blue bucket is playing and splashing in the ocean water,1308472581_9961782889.jpg,5,0.6057,0.7553,0.1495,"['2747714500_49476225c6.jpg', '2951092164_4940b9a517.jpg', '2594459477_8ca0121a9a.jpg']","[0.7553, 0.6677, 0.6165]"
172,the girl with the blue bucket splashes beneath the pier,1308472581_9961782889.jpg,2,0.6237,0.6476,0.0239,"['2594459477_8ca0121a9a.jpg', '1308472581_9961782889.jpg', '3052196390_c59dd24ca8.jpg']","[0.6476, 0.6237, 0.5792]"
173,a boy in blue shirt splashing in water under a dock,1308472581_9961782889.jpg,8,0.5841,0.6701,0.086,"['897621891_efb1e00d1d.jpg', '2107838729_a527e434bd.jpg', '3666537170_c4ecda4be8.jpg']","[0.6701, 0.6662, 0.6459]"
174,a laughing girl holding a bucket splashes in the ocean,1308472581_9961782889.jpg,6,0.6178,0.6512,0.0334,"['2594459477_8ca0121a9a.jpg', '2951092164_4940b9a517.jpg', '2726262796_03bd63a155.jpg']","[0.6512, 0.6413, 0.6369]"
