image,caption
1067675215_7336a694d6.jpg,a man in blue shorts lays down outside in a parking lot
1067675215_7336a694d6.jpg,a man laying down in middle of street during heavy traffic
1067675215_7336a694d6.jpg,a man lies on a mat in a parking lot between a brown suv and a yellow pickup with an open door
1067675215_7336a694d6.jpg,a shirtless man is laying down in the middle of a busy street
1072153132_53d2bb1b60.jpg,a black and white dog catches a toy in midair
1072153132_53d2bb1b60.jpg,a dog and a tennis ball
1072153132_53d2bb1b60.jpg,a dog is jumping to catch a object thrown at it
1072153132_53d2bb1b60.jpg,a dog leaps while chasing a tennis ball through a grassy field
1072153132_53d2bb1b60.jpg,a multicolor dog jumping to catch a tennis ball in a grassy field
107318069_e9f2ef32de.jpg,a crowd watching air balloons at night
107318069_e9f2ef32de.jpg,a group of hot air balloons lit up at night
107318069_e9f2ef32de.jpg,people are watching hot air balloons in the park
107318069_e9f2ef32de.jpg,people watching hot air balloons
107318069_e9f2ef32de.jpg,seven large balloons are lined up at nighttime near a crowd
1075716537_62105738b4.jpg,a child with a helmet on his head rides a bike
1075716537_62105738b4.jpg,a little boy rides a bike down a hill on a miniature dirt bike
1075716537_62105738b4.jpg,a young boy in a helmet rides a bike on the road
1075716537_62105738b4.jpg,the little boy rides his bicycle in a race
1075716537_62105738b4.jpg,the young boy pedals quickly at a bmx race
107582366_d86f2d3347.jpg,a group of eight people are gathered around a table at night
107582366_d86f2d3347.jpg,a group of people gathered around in the dark
107582366_d86f2d3347.jpg,a group of people sit around a table outside on a porch at night
107582366_d86f2d3347.jpg,a group of people sit outdoors together at night
107582366_d86f2d3347.jpg,a group of people sitting at a table in a darkened room
1075867198_27ca2e7efe.jpg,a man in a brown shirt and dark shorts plays on the beach with his two black dogs
1075867198_27ca2e7efe.jpg,a man in shorts with two black dogs holds a ball throwing toy at the beach
1075867198_27ca2e7efe.jpg,a man playing with two black dogs on the beach
1075867198_27ca2e7efe.jpg,a man with two dogs on a beach
1075867198_27ca2e7efe.jpg,man at the beach with two dogs
1077546505_a4f6c4daa9.jpg,a boy in blue shorts slides down a slide into a pool
1077546505_a4f6c4daa9.jpg,a boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water
1077546505_a4f6c4daa9.jpg,a boy rides down a slide into a small backyard pool
1077546505_a4f6c4daa9.jpg,a boy sliding down a slide into a pool with colorful tubes
1077546505_a4f6c4daa9.jpg,a child is falling off a slide onto colored balloons floating on a pool of water
1077931201_1e0bb83105.jpg,a man in a wetsuit is throwing a baby wearing a wetsuit up into the air
1077931201_1e0bb83105.jpg,a man in a wetsuit is throwing a toddler up in the air and is ready to catch him
1077931201_1e0bb83105.jpg,a man in water throwing a little boy up in the air and waiting for him to come down so he can catch him
1077931201_1e0bb83105.jpg,the man is in the pool and throwing a small boy into the air
1077931201_1e0bb83105.jpg,while water droplets fly a man throws a little boy up in the air
1082252566_8c79beef93.jpg,a bulldog a sheep dog and a boxer standing in a yard
1082252566_8c79beef93.jpg,a large brown dog is pushing a small boston terrier with his face while anouther dog watches
1082252566_8c79beef93.jpg,a large skinny dog stands near two smaller dogs int the dirt
1082252566_8c79beef93.jpg,there are three dogs starring at a ball in the middle of them
1082252566_8c79beef93.jpg,three dogs of various sizes
1082379191_ec1e53f996.jpg,a lady and a man with no shirt sit on a dock
1082379191_ec1e53f996.jpg,a man and a woman are sitting on a dock together
1082379191_ec1e53f996.jpg,a man and a woman sitting on a dock
1082379191_ec1e53f996.jpg,a man and woman sitting on a deck next to a lake
1082379191_ec1e53f996.jpg,a shirtless man and a woman sitting on a dock
1084104085_3b06223afe.jpg,a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness
1084104085_3b06223afe.jpg,a woman in blue shorts and a white shirt is indoor rock climbing
1084104085_3b06223afe.jpg,the girl is climbing a rock wall
1084104085_3b06223afe.jpg,the girl is in a harness climbing rocks
1084104085_3b06223afe.jpg,woman climbing an artificial rock wall
1087168168_70280d024a.jpg,a boy is jumping on an inflatable ring and a girl is watching him
1087168168_70280d024a.jpg,a boy jumping on a water jumphouse
1087168168_70280d024a.jpg,a teenage boy is jumping on an inflatable slide
1087168168_70280d024a.jpg,a young boy jumping and a young girl seating in an inflatable pool
1087168168_70280d024a.jpg,two young kids are playing in the water on an inflated toy
1087539207_9f77ab3aaf.jpg,a family playing on a tractor on a beautiful day
1087539207_9f77ab3aaf.jpg,children ride a tractor in a field
1087539207_9f77ab3aaf.jpg,several children playing on a polaris vehicle outdoors
1087539207_9f77ab3aaf.jpg,the children played on the four wheeler in the field
1087539207_9f77ab3aaf.jpg,the four kids are riding on an atv in a field
1088767354_2acee738cf.jpg,a woman in a red costume to the left of a man and woman standing together
1088767354_2acee738cf.jpg,a woman wearing a red costume looks at two other people standing on a street
1088767354_2acee738cf.jpg,a young woman in a red sequined costume and feather stands on the sidewalk
1088767354_2acee738cf.jpg,the girl in the salmon colored bikini is standing next to two young people one is wearing a black outfit and the other is drinking pop
1088767354_2acee738cf.jpg,two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress
108898978_7713be88fc.jpg,skiiers walking up the hill through a forest
108898978_7713be88fc.jpg,two men are skiing in the snow in a wooded area
108898978_7713be88fc.jpg,two people wearing yellow jackets crosscountry skiing
108898978_7713be88fc.jpg,two skiers are making their way through woodland
108898978_7713be88fc.jpg,two skiers are sliding down a trail in the woods
1089181217_ee1167f7af.jpg,a brown dog running down a paved pathway
1089181217_ee1167f7af.jpg,a brown dog running next to grass
1089181217_ee1167f7af.jpg,a dog is running down a road
1089181217_ee1167f7af.jpg,a light brown dog runs down a path happily
1089181217_ee1167f7af.jpg,energetic brown dog running
1089755335_0bfbfd30e6.jpg,a mother and children is fishing on a boardwalk at night
1089755335_0bfbfd30e6.jpg,a woman and three children stand on a deck with a fishing pole
1089755335_0bfbfd30e6.jpg,a woman stands with children on a boardwalk at night overlooking the sea
1089755335_0bfbfd30e6.jpg,some people on a pier at night with one girl fishing off it
1089755335_0bfbfd30e6.jpg,woman with three children fishing over boardwalk in the evening
109202801_c6381eef15.jpg,two draft horses pull a cart through the snow
109202801_c6381eef15.jpg,two golden brown horses pull a sleigh driven by a woman in a blue coat
109202801_c6381eef15.jpg,two horses are pulling a woman in a cart
109202801_c6381eef15.jpg,two horses pull a carriage driven by a woman over snow covered ground
109202801_c6381eef15.jpg,two horses pulling a sled steered by a smiling blond woman
109260218_fca831f933.jpg,people stand inside a rock dome
109260218_fca831f933.jpg,shaft of light in a cave shows three spelunkers
109260218_fca831f933.jpg,spelunkers pose inside a rock cavern while bathed in sunlight from the surface
109260218_fca831f933.jpg,three people sit in a cave
109260218_fca831f933.jpg,three rock climbers are posing on big rocks
1093716555_801aacef79.jpg,a group of backpackers lay on the dry ground
1093716555_801aacef79.jpg,a group of hikers are resting on the ground in front of some mountains
1093716555_801aacef79.jpg,people camp with the mountains in the background
1093716555_801aacef79.jpg,several hikers rest with their gear in front of a mountain
1093716555_801aacef79.jpg,the group of hikers is resting in front of a mountain
1094462889_f9966dafa6.jpg,a brown dog plays in a deep pile of snow
1094462889_f9966dafa6.jpg,a dog looking at the camera in snow
1094462889_f9966dafa6.jpg,a dog runs through the snow
1094462889_f9966dafa6.jpg,a tan dog stand in the snow and looks up
1094462889_f9966dafa6.jpg,the brown dog is out in the snow
1095580424_76f0aa8a3e.jpg,a corgi runs out of a tunnel
1095580424_76f0aa8a3e.jpg,a dog runs out of a tunnel on a course
1095580424_76f0aa8a3e.jpg,dog running out of tunnel on obstacle course
1095580424_76f0aa8a3e.jpg,the dog is running out of the tunnel on a dog obedience course
1095580424_76f0aa8a3e.jpg,the small brown and white dog is running out of a small tunnel
1095590286_c654f7e5a9.jpg,a blond dog and a black and white dog run in a dirt field
1095590286_c654f7e5a9.jpg,a dog chases another dog
1095590286_c654f7e5a9.jpg,a yellow dog and a black and white dog are running in the dirt
1095590286_c654f7e5a9.jpg,two dogs are running in a field
1095590286_c654f7e5a9.jpg,two dogs running around
1095980313_3c94799968.jpg,a little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach
1095980313_3c94799968.jpg,a little girl with arms outstretched is posing at the beach
1095980313_3c94799968.jpg,a young girl walks on a railing in front of the beach
1095980313_3c94799968.jpg,little girl in blue swimsuit standing on a handrail near a beach
1095980313_3c94799968.jpg,the little girl in the blue bathing suit is posing at the beach
1096165011_cc5eb16aa6.jpg,a boy smiles underwater
1096165011_cc5eb16aa6.jpg,a redheaded boy swimming underwater
1096165011_cc5eb16aa6.jpg,a small boy swimming underwater
1096165011_cc5eb16aa6.jpg,a smiling boy swims underwater in a pool
1096165011_cc5eb16aa6.jpg,the boys smiles underwater at the pool
1096395242_fc69f0ae5a.jpg,a boy with a toy gun
1096395242_fc69f0ae5a.jpg,a little boy in orange shorts playing with a toy
1096395242_fc69f0ae5a.jpg,a young boy with his foot outstretched aims a toy at the camera in front of a fireplace
1096395242_fc69f0ae5a.jpg,a young child plays with his new lightup toy
1096395242_fc69f0ae5a.jpg,boy with toy gun pointed at the camera
109671650_f7bbc297fa.jpg,a boy in yellow shorts is standing on top of a cliff
109671650_f7bbc297fa.jpg,a boy wearing blue and yellow walking on a cliff edge
109671650_f7bbc297fa.jpg,a little boy standing high in the air on a rock
109671650_f7bbc297fa.jpg,a young child is standing alone on some jagged rocks
109671650_f7bbc297fa.jpg,child stands near edge of cliff
109738763_90541ef30d.jpg,a person on a snowmobile in mid jump
109738763_90541ef30d.jpg,a snowmobiler flies through the air
109738763_90541ef30d.jpg,a snowmobile rider flies through the air on his or her machine in front of tall pine trees
109738763_90541ef30d.jpg,rider jumps snowmobile high in rural area
109738763_90541ef30d.jpg,the man is up in the air
109738916_236dc456ac.jpg,people are riding around on snowmobiles
109738916_236dc456ac.jpg,people pose with helmets and goggles on while riding snowmobiles
109738916_236dc456ac.jpg,several people are taking a break while on a snowmobiling ride
109738916_236dc456ac.jpg,three people and two snowmobiles
109738916_236dc456ac.jpg,two helmeted men sit on yellow snowmobiles while another man stands behind watching
109823394_83fcb735e1.jpg,three people drive atvs
109823394_83fcb735e1.jpg,three people on atvs in a brown field turn their heads to look at the camera
109823394_83fcb735e1.jpg,three people on atv s outside
109823394_83fcb735e1.jpg,three people on four wheel atv s in a field
109823394_83fcb735e1.jpg,three people ride their four wheelers through the field
109823395_6fb423a90f.jpg,a four wheeler jumping in an empty field
109823395_6fb423a90f.jpg,a man on a four wheeler is flying through the air
109823395_6fb423a90f.jpg,a person is riding an orange atv in a large empty field
109823395_6fb423a90f.jpg,man jumping with all terrain vehicle
109823395_6fb423a90f.jpg,man on an atv catching air
1100214449_d10861e633.jpg,a boy in s striped shirt is jumping in front of a water fountain
1100214449_d10861e633.jpg,a boy is jumping off the side of a running stone water fountain in front of a building
1100214449_d10861e633.jpg,a happy boy is jumping in front od city fountain
1100214449_d10861e633.jpg,a little boy is jumping in front of a fountain
1100214449_d10861e633.jpg,a little boy is playfully jumping off the side of a fountain
1105959054_9c3a738096.jpg,a child painting a picture
1105959054_9c3a738096.jpg,an artist paints clouds onto a canvas
1105959054_9c3a738096.jpg,a young girl painting a picture
1105959054_9c3a738096.jpg,a young girl with braids is painting with water colors on a white paper on the wall
1105959054_9c3a738096.jpg,the child paints on a large paper with water colors
1107246521_d16a476380.jpg,a black dog jumping to catch a rope toy
1107246521_d16a476380.jpg,a black dog playing fetch with a ball of rope
1107246521_d16a476380.jpg,a black dog pounces to get a rope toy
1107246521_d16a476380.jpg,a black dog running after his rope toy
1107246521_d16a476380.jpg,a large black dog is playing in a grassy yard
1107471216_4336c9b328.jpg,a little girl is holding a cine camera in front of her face
1107471216_4336c9b328.jpg,a young girl is looking through an old fashioned video camera
1107471216_4336c9b328.jpg,a young girl steadies her aim with a camera
1107471216_4336c9b328.jpg,girl with rosy cheeks and lips holding black toy gun
1107471216_4336c9b328.jpg,there is a kid with a gun
1110208841_5bb6806afe.jpg,a black and white border collie catches a frisbee in front of an audience
1110208841_5bb6806afe.jpg,a brown and white dog catches a frisbee in it mouth in front of a group of people
1110208841_5bb6806afe.jpg,a brown and white dug jumping up to catch a frisbee while an audience watches
1110208841_5bb6806afe.jpg,a dog jumps to catch a frisbee while many people watch
1110208841_5bb6806afe.jpg,an agile dog catches a frisbee while a crowd of onlookers watches closely
1112212364_0c48235fc2.jpg,a baby is sitting on and playing with smooth rocks
1112212364_0c48235fc2.jpg,a baby is stacking rocks on the beach
1112212364_0c48235fc2.jpg,a small boy is playing with rocks
1112212364_0c48235fc2.jpg,a toddler sitting on a pile of rocks holding a rock at a beach
1112212364_0c48235fc2.jpg,toddler sits on a pile of rocks
111497985_38e9f88856.jpg,a kid rock climbing against the backdrop of a green valley
111497985_38e9f88856.jpg,a woman in a striped shirt climbs up a mountain
111497985_38e9f88856.jpg,a young man climbs a rocky hill
111497985_38e9f88856.jpg,the person has a striped shirt on and is holding on to a rope on a mountain
111497985_38e9f88856.jpg,the person in the striped shirt is mountain climbing
111537217_082a4ba060.jpg,a man climbing a rock wall
111537217_082a4ba060.jpg,a man climbing the side of a cliff
111537217_082a4ba060.jpg,a man is rock climbing
111537217_082a4ba060.jpg,man with red shoes white shirt and grey pants climbing
111537217_082a4ba060.jpg,the young man with the white tshirt and jeans is rappeling up the rock wall
1115679311_245eff2f4b.jpg,a black dog is jumping over a log along a beach
1115679311_245eff2f4b.jpg,a black dog runs along the beach and jumps over a wood barrior
1115679311_245eff2f4b.jpg,a dog is running on the beach
1115679311_245eff2f4b.jpg,a dog jumping over a small wall at a beach near the water
1115679311_245eff2f4b.jpg,an animal is running on the beach
111766423_4522d36e56.jpg,a black and white bird eating seeds out of someone s hand
111766423_4522d36e56.jpg,a black and white bird standing on a hand
111766423_4522d36e56.jpg,a small bird sits in a person s hand and eats seeds
111766423_4522d36e56.jpg,black and white bird standing on hand of someone holding sunflower seeds
111766423_4522d36e56.jpg,the small bird is clinging to a finger of the hand holding the seeds
1117972841_2b9261f95f.jpg,a brown dog is running in the sand
1117972841_2b9261f95f.jpg,a brown dog playing in the sand
1117972841_2b9261f95f.jpg,a brown dog plays at the beach
1117972841_2b9261f95f.jpg,a dog is standing in the sand
1117972841_2b9261f95f.jpg,a dog running fast in the sand
1118557877_736f339752.jpg,a little boy stands in the surf
1118557877_736f339752.jpg,a small child wades through the water while being guided by another person
1118557877_736f339752.jpg,a young boy laughs while splashing in the ocean
1118557877_736f339752.jpg,a young boy wearing a colorful bathing suit splashing in the ocean
1118557877_736f339752.jpg,a young child splashing in water
1119418776_58e4b93eac.jpg,a black and white dog is running through the field
1119418776_58e4b93eac.jpg,a black brown and white dog running through a field
1119418776_58e4b93eac.jpg,a brown black and white dog is running through a large field with its mouth open
1119418776_58e4b93eac.jpg,a dog running in a field
1119418776_58e4b93eac.jpg,a dog with its mouth open running through a field torwards the camera
1121416483_c7902d0d49.jpg,a child is standing on her head
1121416483_c7902d0d49.jpg,a little girl standing on her head
1121416483_c7902d0d49.jpg,a small child doing a handstand on a bed
1121416483_c7902d0d49.jpg,a young girl does a handstand on a bed with blue sheets
1121416483_c7902d0d49.jpg,the girl is upside down on a bed
112178718_87270d9b4d.jpg,a guy stands in the sand with a snowboard behind him
112178718_87270d9b4d.jpg,a man holds a surfboard on the beach
112178718_87270d9b4d.jpg,a man holds his snowboard in the sand
112178718_87270d9b4d.jpg,a man with his surfboard stands in the sand
112178718_87270d9b4d.jpg,man is standing on white sand and holding a snowboard
112243673_fd68255217.jpg,people on atvs and dirt bikes are traveling along a worn path in a field surrounded by trees
112243673_fd68255217.jpg,three people are riding around on atv s and motorcycles
112243673_fd68255217.jpg,three people on motorbikes follow a trail through dry grass
112243673_fd68255217.jpg,three people on two dirtbikes and one fourwheeler are riding through brown grass
